Time,X,Y,Z
9.012844,-0.1636177,0.7063694,0.6349081
9.022774,-0.1628018,0.7062702,0.6351519
9.034235,-0.1638521,0.7062338,0.6339846
9.045234,-0.1637633,0.7062944,0.6343697
9.056125,-0.1616809,0.703609,0.6256694
9.067511,-0.1606869,0.7034891,0.6259581
9.078394,-0.1605061,0.7034976,0.6261074
9.089558,-0.1007045,0.6017154,0.620682
9.100885,-0.03185135,0.6017154,0.5539474
9.111807,0.02400273,0.6377562,0.5085505
9.123519,0.06573361,0.6956155,0.4772542
9.13412,0.08387846,0.6956155,0.4653536
9.145144,0.09435016,0.6956155,0.4742529
9.156438,0.08158082,0.6956155,0.4873384
9.167395,0.07915467,0.6956155,0.4942248
9.178276,0.07703066,0.6956155,0.4956963
9.18955,0.07940626,0.6956155,0.4753105
9.200587,0.08258504,0.6956155,0.4705129
9.211637,0.08332896,0.6956155,0.4703126
9.222842,0.08496338,0.6956155,0.4716586
9.234086,0.08427727,0.6956155,0.4729102
9.245145,0.08268279,0.6956155,0.4715374
9.256767,0.08329469,0.6956155,0.4722176
9.267179,0.08397812,0.6956155,0.4722743
9.278441,0.08464074,0.6956155,0.4723153
9.291458,0.0849123,0.6956155,0.4729888
9.300898,0.08470082,0.6956155,0.472178
9.311883,0.08548027,0.6956155,0.4702494
9.322904,0.08721846,0.6956155,0.4714243
9.334105,0.08619201,0.6956155,0.4698881
9.345373,0.08632803,0.6956155,0.4701019
9.356093,0.08951724,0.6956155,0.4722646
9.367303,0.08885306,0.6956155,0.4730836
9.378455,0.09017712,0.6956155,0.4737763
9.389654,0.09887862,0.6956155,0.4965998
9.400585,0.2038248,0.6017154,0.5803239
9.412152,0.2548928,0.6066456,0.6329205
9.423143,0.2748648,0.7212279,0.6665187
9.433779,0.2919371,0.7222762,0.6763468
9.445064,0.2838947,0.7213529,0.6689357
9.45616,0.2806423,0.7237017,0.6740532
9.467746,0.2910304,0.720596,0.6708273
9.478534,0.2850425,0.7232361,0.6745579
9.491342,0.2671161,0.7261707,0.6817878
9.500641,0.2651038,0.7264557,0.6838888
9.511811,0.2657281,0.7262948,0.6828277
9.522882,0.2650716,0.7263549,0.6834057
9.533716,0.2661152,0.7263414,0.6829007
9.545809,0.2658525,0.7262316,0.6824878
9.556174,0.2656471,0.7262085,0.6824524
9.567362,0.2655919,0.7258769,0.680993
9.578194,0.2663924,0.7260709,0.6815718
9.589377,0.2627337,0.72531,0.6798498
9.600356,0.2649201,0.7258545,0.6811439
9.611938,0.2644061,0.7260281,0.6821449
9.622706,0.2648503,0.7262961,0.6832136
9.633703,0.2644744,0.7262098,0.6829697
9.644905,0.2643239,0.7262506,0.6832265
9.656021,0.2658707,0.7263604,0.6830921
9.666971,0.2637808,0.725503,0.6801375
9.678179,0.2650076,0.7256667,0.680329
9.689397,0.2645122,0.7261785,0.682797
9.700499,0.2651699,0.7263878,0.6835248
9.711455,0.2668806,0.7265123,0.6834847
9.72296,0.2642218,0.7266183,0.6852145
9.733766,0.2657514,0.7237964,0.6736295
9.744825,0.2771996,0.7217968,0.6681303
9.756045,0.2768292,0.7210705,0.666401
9.767193,0.2748598,0.7190694,0.6620619
9.778066,0.2790428,0.718482,0.6614983
9.789165,0.2703069,0.7196124,0.6630417
9.800487,0.2907119,0.7171024,0.6629734
9.811547,0.2906423,0.7162887,0.6614324
9.822461,0.3014818,0.7165916,0.6698437
9.833581,0.2918381,0.720433,0.6709654
9.845217,0.4280245,0.6017154,0.7769566
9.856008,0.4320354,0.6017154,0.7411208
9.867271,0.4346523,0.6017154,0.6796428
